Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.300e-04,7.1,-0.001
-6.280e-04,6.9,-0.00076
-6.260e-04,6.7,-0.00084
-6.240e-04,6.9,-0.00088
-6.220e-04,6.3,-0.00064
-6.200e-04,6.5,-0.00084
-6.180e-04,6.5,-0.00072
-6.160e-04,6.3,-0.00104
-6.140e-04,6.1,-0.00064
-6.120e-04,6.1,-0.00084
-6.100e-04,6.1,-0.00068
-6.080e-04,6.1,-0.00076
-6.060e-04,5.9,-0.00072
-6.040e-04,5.9,-0.00068
-6.020e-04,5.7,-0.00064
-6.000e-04,5.3,-0.001
-5.980e-04,5.3,-0.0004
-5.960e-04,5.3,-0.00056
-5.940e-04,5.3,-0.00104
-5.920e-04,5.3,-0.00068
-5.900e-04,5.1,-0.0008
-5.880e-04,4.9,-0.0008
-5.860e-04,4.9,-0.00072
-5.840e-04,4.7,-0.001
-5.820e-04,4.7,-0.00092
-5.800e-04,4.5,-0.001
-5.780e-04,4.1,-0.00072
-5.760e-04,4.1,-0.00064
-5.740e-04,4.1,-0.00092
-5.720e-04,3.9,-0.0006
-5.700e-04,4.1,-0.00092
-5.680e-04,3.7,-0.00084
-5.660e-04,3.7,-0.00052
-5.640e-04,3.5,-0.00048
-5.620e-04,3.3,-0.00052
-5.600e-04,3.1,-0.00112
-5.580e-04,3.1,-0.00088
-5.560e-04,3.1,-0.00064
-5.540e-04,3.1,-0.00084
-5.520e-04,2.9,-0.0004
-5.500e-04,2.7,-0.00076
-5.480e-04,2.7,-0.00052
-5.460e-04,2.3,-0.0006
-5.440e-04,2.5,-0.00056
-5.420e-04,2.1,-0.00076
-5.400e-04,2.1,-0.0006
-5.380e-04,1.9,-0.00068
-5.360e-04,1.7,-0.0006
-5.340e-04,1.5,-0.00048
-5.320e-04,1.7,-0.0008
-5.300e-04,1.5,-0.00076
-5.280e-04,1.1,-0.00088
-5.260e-04,1.1,-0.00068
-5.240e-04,1.1,-0.00076
-5.220e-04,0.7,-0.00064
-5.200e-04,0.9,-0.00092
-5.180e-04,0.5,-0.0006
-5.160e-04,0.5,-0.00108
-5.140e-04,0.1,-0.0004
-5.120e-04,0.3,-0.00092
-5.100e-04,0.1,-0.00048
-5.080e-04,-0.3,-0.00032
-5.060e-04,-0.1,-0.00052
-5.040e-04,-0.5,-0.00064
-5.020e-04,-0.3,-0.00028
-5.000e-04,-0.7,-0.00076
-4.980e-04,-0.7,-0.00048
-4.960e-04,-0.7,-0.0006
-4.940e-04,-0.7,-0.00076
-4.920e-04,-0.9,-0.00072
-4.900e-04,-1.1,-0.0004
-4.880e-04,-1.3,-0.00048
-4.860e-04,-1.5,-0.00076
-4.840e-04,-1.7,-0.00052
-4.820e-04,-1.7,-0.0006
-4.800e-04,-1.7,-0.0006
-4.780e-04,-1.9,-0.0006
-4.760e-04,-2.1,-0.0008
-4.740e-04,-2.1,-0.00064
-4.720e-04,-2.5,-0.00048
-4.700e-04,-2.7,-0.00068
-4.680e-04,-2.5,-0.00032
-4.660e-04,-2.7,-0.00052
-4.640e-04,-3.1,-0.00072
-4.620e-04,-3.1,-0.0006
-4.600e-04,-3.1,-0.00028
-4.580e-04,-3.3,-4e-05
-4.560e-04,-3.3,-8e-05
-4.540e-04,-3.7,-0.0004
-4.520e-04,-3.5,-0.00048
-4.500e-04,-3.7,-0.00052
-4.480e-04,-3.7,-0.0006
-4.460e-04,-3.9,-0.00056
-4.440e-04,-3.9,-0.00048
-4.420e-04,-4.1,-0.00052
-4.400e-04,-4.5,-0.00016
-4.380e-04,-4.3,-0.00068
-4.360e-04,-4.5,-0.00028
-4.340e-04,-4.7,-0.0004
-4.320e-04,-4.9,-0.00036
-4.300e-04,-4.9,-0.00064
-4.280e-04,-5.1,-0.00044
-4.260e-04,-4.9,-0.00016
-4.240e-04,-5.1,-4e-05
-4.220e-04,-5.5,-0.00012
-4.200e-04,-5.5,-8e-05
-4.180e-04,-5.7,-0.00012
-4.160e-04,-5.9,-0.00016
-4.140e-04,-6.1,-8e-05
-4.120e-04,-5.7,-8e-05
-4.100e-04,-6.1,-0.0002
-4.080e-04,-6.3,-0.00044
-4.060e-04,-6.3,-0.00016
-4.040e-04,-6.3,-4e-05
-4.020e-04,-6.5,-0.00016
-4.000e-04,-6.7,-4e-05
-3.980e-04,-6.5,-0.0002
-3.960e-04,-6.9,-0.00028
-3.940e-04,-6.9,-0.00032
-3.920e-04,-6.9,-8e-05
-3.900e-04,-6.9,4e-05
-3.880e-04,-7.1,0
-3.860e-04,-7.1,0.00028
-3.840e-04,-7.1,4e-05
-3.820e-04,-7.3,0.00012
-3.800e-04,-7.3,4e-05
-3.780e-04,-7.5,-0.00028
-3.760e-04,-7.7,-4e-05
-3.740e-04,-7.9,-0.0002
-3.720e-04,-7.7,-0.00024
-3.700e-04,-7.9,-0.00024
-3.680e-04,-7.9,-4e-05
-3.660e-04,-8.1,-0.00012
-3.640e-04,-8.1,-0.00012
-3.620e-04,-8.3,-8e-05
-3.600e-04,-8.1,4e-05
-3.580e-04,-8.5,0
-3.560e-04,-8.3,-0.00032
-3.540e-04,-8.5,-0.0002
-3.520e-04,-8.5,-0.00016
-3.500e-04,-8.5,0
-3.480e-04,-8.5,8e-05
-3.460e-04,-8.9,-0.00028
-3.440e-04,-8.9,-4e-05
-3.420e-04,-9.1,-0.00016
-3.400e-04,-9.3,0
-3.380e-04,-9.1,-8e-05
-3.360e-04,-9.3,0.00016
-3.340e-04,-9.1,-8e-05
-3.320e-04,-9.5,0
-3.300e-04,-9.3,0.00024
-3.280e-04,-9.5,0.00012
-3.260e-04,-9.3,0.0002
-3.240e-04,-9.5,0.00016
-3.220e-04,-9.5,0
-3.200e-04,-9.7,0.00032
-3.180e-04,-9.7,-0.00016
-3.160e-04,-9.5,0.00016
-3.140e-04,-9.9,0.0004
-3.120e-04,-9.7,4e-05
-3.100e-04,-9.9,8e-05
-3.080e-04,-9.7,0
-3.060e-04,-10.1,0.00056
-3.040e-04,-10.1,0.00016
-3.020e-04,-9.9,0.00024
-3.000e-04,-9.9,4e-05
-2.980e-04,-10.3,0.00024
-2.960e-04,-10.1,4e-05
-2.940e-04,-10.1,0.0002
-2.920e-04,-10.1,0.00056
-2.900e-04,-10.3,0.00032
-2.880e-04,-10.3,4e-05
-2.860e-04,-10.3,0.00012
-2.840e-04,-10.5,8e-05
-2.820e-04,-10.3,0.00028
-2.800e-04,-10.3,8e-05
-2.780e-04,-10.3,0.00052
-2.760e-04,-10.3,0
-2.740e-04,-10.3,0.0006
-2.720e-04,-10.3,0.00064
-2.700e-04,-10.5,0.00028
-2.680e-04,-10.5,0.00028
-2.660e-04,-10.5,8e-05
-2.640e-04,-10.3,8e-05
-2.620e-04,-10.5,4e-05
-2.600e-04,-10.3,0.00036
-2.580e-04,-10.5,0.00036
-2.560e-04,-10.5,0.00076
-2.540e-04,-10.5,0.00052
-2.520e-04,-10.5,8e-05
-2.500e-04,-10.5,0.0002
-2.480e-04,-10.3,0.00044
-2.460e-04,-10.3,0.00076
-2.440e-04,-10.5,8e-05
-2.420e-04,-10.3,0.0004
-2.400e-04,-10.3,0.00028
-2.380e-04,-10.3,0.0004
-2.360e-04,-10.1,0.00028
-2.340e-04,-10.1,0.00048
-2.320e-04,-10.3,0.0004
-2.300e-04,-10.3,0.00032
-2.280e-04,-10.1,0.00056
-2.260e-04,-10.1,0.0002
-2.240e-04,-10.3,0.0004
-2.220e-04,-9.9,0.00052
-2.200e-04,-10.1,0.00068
-2.180e-04,-9.9,0.00024
-2.160e-04,-10.1,0.0004
-2.140e-04,-10.1,0.00032
-2.120e-04,-10.1,0.0004
-2.100e-04,-9.9,0.0004
-2.080e-04,-10.1,0.00048
-2.060e-04,-9.9,0.00036
-2.040e-04,-9.7,0.00032
-2.020e-04,-9.9,0.00044
-2.000e-04,-9.9,0.00072
-1.980e-04,-9.7,0.00064
-1.960e-04,-9.5,0.00048
-1.940e-04,-9.5,0.00052
-1.920e-04,-9.5,0.0006
-1.900e-04,-9.5,0.00024
-1.880e-04,-9.3,0.00024
-1.860e-04,-9.3,0.00064
-1.840e-04,-9.3,0.00072
-1.820e-04,-9.1,0.00076
-1.800e-04,-9.1,0.00068
-1.780e-04,-9.5,0.00112
-1.760e-04,-9.1,0.00024
-1.740e-04,-8.9,0.00068
-1.720e-04,-8.9,0.00044
-1.700e-04,-8.7,0.0002
-1.680e-04,-8.9,0.00048
-1.660e-04,-8.5,0.0004
-1.640e-04,-8.9,0.00056
-1.620e-04,-8.7,0.00048
-1.600e-04,-8.5,0.00064
-1.580e-04,-8.5,0.0006
-1.560e-04,-8.5,0.00044
-1.540e-04,-8.3,0.00064
-1.520e-04,-8.3,0.00044
-1.500e-04,-8.3,0.0008
-1.480e-04,-8.3,0.00056
-1.460e-04,-7.9,0.00072
-1.440e-04,-7.9,0.00056
-1.420e-04,-7.9,0.00032
-1.400e-04,-7.7,0.00072
-1.380e-04,-7.5,0.00064
-1.360e-04,-7.5,0.00048
-1.340e-04,-7.7,0.00056
-1.320e-04,-7.5,0.0004
-1.300e-04,-7.5,0.00028
-1.280e-04,-7.1,0.00068
-1.260e-04,-7.3,0.00036
-1.240e-04,-7.1,0.00064
-1.220e-04,-7.1,0.0004
-1.200e-04,-6.9,0.00056
-1.180e-04,-6.9,0.00028
-1.160e-04,-6.9,0.00048
-1.140e-04,-6.7,0.00048
-1.120e-04,-6.7,0.00072
-1.100e-04,-6.5,0.0006
-1.080e-04,-6.3,0.00064
-1.060e-04,-6.3,0.00076
-1.040e-04,-6.3,0.0004
-1.020e-04,-6.3,-0.00012
-1.000e-04,-6.1,0.00072
-9.800e-05,-5.9,0.0002
-9.600e-05,-5.7,0.0006
-9.400e-05,-5.5,0.00076
-9.200e-05,-5.7,8e-05
-9.000e-05,-5.7,0.00048
-8.800e-05,-5.5,0.00044
-8.600e-05,-5.1,0.00024
-8.400e-05,-5.3,0.00048
-8.200e-05,-4.9,0.0006
-8.000e-05,-4.9,0.00016
-7.800e-05,-4.7,0.00068
-7.600e-05,-4.7,0.00064
-7.400e-05,-4.5,0.00096
-7.200e-05,-4.5,0.00028
-7.000e-05,-4.1,0.00056
-6.800e-05,-4.3,0.00052
-6.600e-05,-3.9,0.00036
-6.400e-05,-3.9,0.00032
-6.200e-05,-3.9,0.00048
-6.000e-05,-3.7,0.00032
-5.800e-05,-3.7,0.00028
-5.600e-05,-3.3,0.00052
-5.400e-05,-3.3,0.00064
-5.200e-05,-3.1,0.00056
-5.000e-05,-3.3,0.00024
-4.800e-05,-2.9,0.00012
-4.600e-05,-2.7,0.00012
-4.400e-05,-2.7,0.00024
-4.200e-05,-2.5,0.0006
-4.000e-05,-2.3,0.00052
-3.800e-05,-2.3,0.00032
-3.600e-05,-2.1,0.00068
-3.400e-05,-2.1,0.00036
-3.200e-05,-2.1,0.00068
-3.000e-05,-1.7,0.00016
-2.800e-05,-1.5,0.00076
-2.600e-05,-1.7,4e-05
-2.400e-05,-1.5,0.00032
-2.200e-05,-1.3,0
-2.000e-05,-0.9,0.00032
-1.800e-05,-0.9,0.00024
-1.600e-05,-0.7,0.0002
-1.400e-05,-0.7,0.00028
-1.200e-05,-0.7,0.00028
-1.000e-05,-0.5,0.00012
-8.000e-06,-0.3,0.00036
-6.000e-06,-0.3,0.0004
-4.000e-06,-0.3,8e-05
-2.000e-06,-0.1,0.0004
0.000e+00,-0.1,0.0002
2.000e-06,0.3,0.0002
4.000e-06,0.3,4e-05
6.000e-06,0.5,0.00028
8.000e-06,0.5,0.00012
1.000e-05,1.1,0.00024
1.200e-05,0.9,0.0004
1.400e-05,0.9,0.00032
1.600e-05,1.1,0.00024
1.800e-05,1.5,-8e-05
2.000e-05,1.5,-4e-05
2.200e-05,1.7,0.0004
2.400e-05,1.3,0.00048
2.600e-05,2.1,8e-05
2.800e-05,2.1,-4e-05
3.000e-05,2.1,0.00016
3.200e-05,1.9,0.00012
3.400e-05,2.3,0.00024
3.600e-05,2.5,0.0004
3.800e-05,2.7,0.0002
4.000e-05,2.7,-8e-05
4.200e-05,3.1,0.00048
4.400e-05,2.9,0.00012
4.600e-05,3.1,0.0004
4.800e-05,3.3,8e-05
5.000e-05,3.3,0.00012
5.200e-05,3.3,0.00064
5.400e-05,3.5,-0.00012
5.600e-05,3.7,-0.00024
5.800e-05,3.9,-0.00012
6.000e-05,3.9,4e-05
6.200e-05,4.1,0.00024
6.400e-05,4.1,0.00024
6.600e-05,4.1,0
6.800e-05,4.3,-4e-05
7.000e-05,4.5,0.0002
7.200e-05,4.5,0
7.400e-05,4.7,-0.00012
7.600e-05,4.9,8e-05
7.800e-05,4.9,-0.00016
8.000e-05,5.1,0.00012
8.200e-05,5.1,8e-05
8.400e-05,5.3,-0.0002
8.600e-05,5.3,0.00028
8.800e-05,5.7,-4e-05
9.000e-05,5.5,-0.00012
9.200e-05,5.7,0.00024
9.400e-05,5.7,4e-05
9.600e-05,5.9,0.0002
9.800e-05,5.9,-0.00028
1.000e-04,6.1,-0.00012
1.020e-04,5.9,-4e-05
1.040e-04,6.3,-0.0004
1.060e-04,6.1,-4e-05
1.080e-04,6.3,-4e-05
1.100e-04,6.7,-0.00012
1.120e-04,6.5,-0.00016
1.140e-04,6.7,-0.00028
1.160e-04,6.9,-0.00028
1.180e-04,6.9,-0.0002
1.200e-04,7.1,-0.0002
1.220e-04,7.1,8e-05
1.240e-04,7.3,-0.00052
1.260e-04,7.1,-0.00044
1.280e-04,7.3,-0.00036
1.300e-04,7.3,-0.00016
