Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-1.96,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.809e+00,1.68,1.24
-4.808e+00,1.76,1.24
-4.807e+00,1.76,1.16
-4.806e+00,1.84,1.24
-4.805e+00,1.76,1.24
-4.804e+00,1.76,1.24
-4.803e+00,1.68,1.32
-4.802e+00,1.76,1.24
-4.801e+00,1.76,1.24
-4.800e+00,1.76,1.32
-4.799e+00,1.84,1.32
-4.798e+00,1.76,1.32
-4.797e+00,1.76,1.24
-4.796e+00,1.68,1.32
-4.795e+00,1.76,1.32
-4.794e+00,1.76,1.24
-4.793e+00,1.68,1.24
-4.792e+00,1.68,1.32
-4.791e+00,1.76,1.32
-4.790e+00,1.68,1.32
-4.789e+00,1.76,1.4
-4.788e+00,1.76,1.32
-4.787e+00,1.76,1.32
-4.786e+00,1.76,1.32
-4.785e+00,1.76,1.32
-4.784e+00,1.76,1.4
-4.783e+00,1.76,1.4
-4.782e+00,1.76,1.24
-4.781e+00,1.76,1.32
-4.780e+00,1.76,1.24
-4.779e+00,1.76,1.4
-4.778e+00,1.68,1.4
-4.777e+00,1.76,1.32
-4.776e+00,1.76,1.24
-4.775e+00,1.68,1.32
-4.774e+00,1.68,1.32
-4.773e+00,1.76,1.4
-4.772e+00,1.76,1.32
-4.771e+00,1.68,1.4
-4.770e+00,1.76,1.4
-4.769e+00,1.84,1.4
-4.768e+00,1.76,1.4
-4.767e+00,1.76,1.4
-4.766e+00,1.76,1.32
-4.765e+00,1.92,1.4
-4.764e+00,1.84,1.48
-4.763e+00,1.84,1.4
-4.762e+00,1.76,1.4
-4.761e+00,1.84,1.4
-4.760e+00,1.76,1.4
-4.759e+00,1.84,1.4
-4.758e+00,1.92,1.4
-4.757e+00,1.92,1.48
-4.756e+00,1.92,1.4
-4.755e+00,2,1.4
-4.754e+00,1.84,1.4
-4.753e+00,1.84,1.4
-4.752e+00,1.92,1.48
-4.751e+00,1.92,1.4
-4.750e+00,1.92,1.48
-4.749e+00,2,1.4
-4.748e+00,1.92,1.4
-4.747e+00,2,1.4
-4.746e+00,2,1.56
-4.745e+00,2,1.48
-4.744e+00,2,1.48
-4.743e+00,2.08,1.4
-4.742e+00,1.92,1.4
-4.741e+00,2,1.48
-4.740e+00,2,1.48
-4.739e+00,2,1.4
-4.738e+00,2.08,1.4
-4.737e+00,1.92,1.4
-4.736e+00,2.08,1.48
-4.735e+00,2.08,1.56
-4.734e+00,2,1.48
-4.733e+00,2.08,1.48
-4.732e+00,2.08,1.56
-4.731e+00,2,1.48
-4.730e+00,2.08,1.56
-4.729e+00,2.16,1.48
-4.728e+00,2.16,1.48
-4.727e+00,2.24,1.48
-4.726e+00,2.16,1.4
-4.725e+00,2.08,1.56
-4.724e+00,2.24,1.48
-4.723e+00,2.24,1.56
-4.722e+00,2.24,1.56
-4.721e+00,2.24,1.56
-4.720e+00,2.24,1.56
-4.719e+00,2.16,1.56
-4.718e+00,2.24,1.56
-4.717e+00,2.24,1.56
-4.716e+00,2.24,1.48
-4.715e+00,2.32,1.56
-4.714e+00,2.32,1.64
-4.713e+00,2.4,1.64
-4.712e+00,2.4,1.56
-4.711e+00,2.32,1.64
-4.710e+00,2.4,1.56
-4.709e+00,2.4,1.64
-4.708e+00,2.4,1.64
-4.707e+00,2.32,1.56
-4.706e+00,2.4,1.64
-4.705e+00,2.48,1.56
-4.704e+00,2.4,1.64
-4.703e+00,2.56,1.56
-4.702e+00,2.48,1.56
-4.701e+00,2.48,1.64
-4.700e+00,2.56,1.56
-4.699e+00,2.56,1.64
-4.698e+00,2.56,1.56
-4.697e+00,2.56,1.56
-4.696e+00,2.56,1.64
-4.695e+00,2.64,1.64
-4.694e+00,2.56,1.64
-4.693e+00,2.72,1.64
-4.692e+00,2.64,1.64
-4.691e+00,2.64,1.72
-4.690e+00,2.64,1.64
-4.689e+00,2.72,1.72
-4.688e+00,2.8,1.72
-4.687e+00,2.8,1.72
-4.686e+00,2.8,1.72
-4.685e+00,2.72,1.8
-4.684e+00,2.72,1.72
-4.683e+00,2.72,1.72
-4.682e+00,2.8,1.72
-4.681e+00,2.8,1.72
-4.680e+00,2.88,1.64
-4.679e+00,2.88,1.8
-4.678e+00,2.8,1.8
-4.677e+00,2.88,1.72
-4.676e+00,2.88,1.72
-4.675e+00,2.96,1.8
-4.674e+00,2.88,1.8
-4.673e+00,2.96,1.8
-4.672e+00,2.96,1.8
-4.671e+00,3.04,1.8
-4.670e+00,3.12,1.8
-4.669e+00,3.04,1.8
-4.668e+00,3.04,1.8
-4.667e+00,3.12,1.8
-4.666e+00,3.12,1.8
-4.665e+00,3.12,1.72
-4.664e+00,3.12,1.8
-4.663e+00,3.2,1.8
-4.662e+00,3.2,1.8
-4.661e+00,3.12,1.8
-4.660e+00,3.36,1.88
-4.659e+00,3.2,1.8
-4.658e+00,3.28,1.8
-4.657e+00,3.2,1.8
-4.656e+00,3.28,1.88
-4.655e+00,3.36,1.8
-4.654e+00,3.28,1.88
-4.653e+00,3.36,1.8
-4.652e+00,3.36,1.88
-4.651e+00,3.36,1.88
-4.650e+00,3.44,1.88
-4.649e+00,3.36,1.88
-4.648e+00,3.44,1.88
-4.647e+00,3.52,1.8
-4.646e+00,3.6,1.8
-4.645e+00,3.52,1.88
-4.644e+00,3.52,1.88
-4.643e+00,3.52,1.8
-4.642e+00,3.6,1.88
-4.641e+00,3.6,1.88
-4.640e+00,3.6,1.88
-4.639e+00,3.68,1.8
-4.638e+00,3.68,1.96
-4.637e+00,3.68,1.96
-4.636e+00,3.76,1.96
-4.635e+00,3.76,1.96
-4.634e+00,3.6,1.96
-4.633e+00,3.76,1.88
-4.632e+00,3.76,1.8
-4.631e+00,3.84,1.96
-4.630e+00,3.84,2.04
-4.629e+00,3.84,2.04
-4.628e+00,3.84,1.96
-4.627e+00,3.84,1.96
-4.626e+00,3.84,1.96
-4.625e+00,3.92,1.96
-4.624e+00,3.92,1.96
-4.623e+00,3.92,2.04
-4.622e+00,3.92,1.96
-4.621e+00,3.92,2.04
-4.620e+00,4,1.96
-4.619e+00,4,1.96
-4.618e+00,4,1.96
-4.617e+00,4.16,1.96
-4.616e+00,4.08,2.12
-4.615e+00,4.08,1.96
-4.614e+00,4.08,1.96
-4.613e+00,4.16,2.04
-4.612e+00,4.08,2.04
-4.611e+00,4.24,2.04
-4.610e+00,4.16,2.12
-4.609e+00,4.24,1.96
-4.608e+00,4.16,2.04
-4.607e+00,4.24,2.04
-4.606e+00,4.32,2.04
