Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,0,-0.34
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.13e-01,1.6,1.22
-3.12e-01,1.68,1.18
-3.11e-01,1.68,1.06
-3.10e-01,1.76,1.06
-3.09e-01,1.68,1.02
-3.08e-01,1.76,0.98
-3.07e-01,1.76,0.9
-3.06e-01,1.76,0.94
-3.05e-01,1.92,0.86
-3.04e-01,1.84,0.82
-3.03e-01,1.84,0.78
-3.02e-01,1.92,0.74
-3.01e-01,1.92,0.7
-3.00e-01,1.92,0.7
-2.99e-01,2,0.62
-2.98e-01,2,0.58
-2.97e-01,2,0.62
-2.96e-01,2,0.58
-2.95e-01,2.08,0.58
-2.94e-01,2.16,0.5
-2.93e-01,2.08,0.5
-2.92e-01,2.08,0.46
-2.91e-01,2.24,0.42
-2.90e-01,2.16,0.46
-2.89e-01,2.24,0.42
-2.88e-01,2.32,0.38
-2.87e-01,2.24,0.38
-2.86e-01,2.32,0.34
-2.85e-01,2.32,0.38
-2.84e-01,2.4,0.38
-2.83e-01,2.32,0.34
-2.82e-01,2.48,0.34
-2.81e-01,2.48,0.34
-2.80e-01,2.48,0.34
-2.79e-01,2.48,0.34
-2.78e-01,2.56,0.34
-2.77e-01,2.48,0.34
-2.76e-01,2.56,0.34
-2.75e-01,2.48,0.34
-2.74e-01,2.56,0.34
-2.73e-01,2.72,0.38
-2.72e-01,2.64,0.38
-2.71e-01,2.64,0.42
-2.70e-01,2.72,0.42
-2.69e-01,2.64,0.46
-2.68e-01,2.64,0.5
-2.67e-01,2.64,0.5
-2.66e-01,2.8,0.5
-2.65e-01,2.88,0.58
-2.64e-01,2.8,0.58
-2.63e-01,2.72,0.62
-2.62e-01,2.88,0.62
-2.61e-01,2.96,0.66
-2.60e-01,2.88,0.7
-2.59e-01,2.88,0.74
-2.58e-01,2.96,0.78
-2.57e-01,2.96,0.82
-2.56e-01,2.96,0.9
-2.55e-01,3.04,0.9
-2.54e-01,3.12,0.86
-2.53e-01,3.12,0.94
-2.52e-01,3.04,0.98
-2.51e-01,3.12,1.06
-2.50e-01,3.2,1.06
-2.49e-01,3.2,1.14
-2.48e-01,3.2,1.18
-2.47e-01,3.2,1.22
-2.46e-01,3.28,1.26
-2.45e-01,3.28,1.38
-2.44e-01,3.36,1.42
-2.43e-01,3.36,1.34
-2.42e-01,3.36,1.46
-2.41e-01,3.36,1.5
-2.40e-01,3.44,1.54
-2.39e-01,3.44,1.5
-2.38e-01,3.44,1.62
-2.37e-01,3.52,1.62
-2.36e-01,3.44,1.62
-2.35e-01,3.52,1.7
-2.34e-01,3.68,1.7
-2.33e-01,3.68,1.74
-2.32e-01,3.6,1.7
-2.31e-01,3.6,1.74
-2.30e-01,3.68,1.82
-2.29e-01,3.6,1.82
-2.28e-01,3.68,1.78
-2.27e-01,3.68,1.78
-2.26e-01,3.76,1.82
-2.25e-01,3.76,1.82
-2.24e-01,3.68,1.82
-2.23e-01,3.68,1.82
-2.22e-01,3.68,1.82
-2.21e-01,3.6,1.82
-2.20e-01,3.52,1.82
-2.19e-01,3.6,1.82
-2.18e-01,3.52,1.78
-2.17e-01,3.52,1.86
-2.16e-01,3.6,1.82
-2.15e-01,3.36,1.82
-2.14e-01,3.44,1.82
-2.13e-01,3.36,1.82
-2.12e-01,3.44,1.82
-2.11e-01,3.44,1.82
-2.10e-01,3.36,1.78
-2.09e-01,3.36,1.82
-2.08e-01,3.28,1.78
-2.07e-01,3.28,1.82
-2.06e-01,3.28,1.82
-2.05e-01,3.2,1.78
-2.04e-01,3.28,1.78
-2.03e-01,3.2,1.82
