Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.240e-04,6.6,-0.00052
-6.220e-04,6.6,-0.00076
-6.200e-04,6.6,-0.00064
-6.180e-04,6.2,-0.0008
-6.160e-04,6.6,-0.00064
-6.140e-04,6.6,-0.00056
-6.120e-04,6.2,-0.0008
-6.100e-04,6.2,-0.00088
-6.080e-04,5.8,-0.00068
-6.060e-04,5.8,-0.0006
-6.040e-04,5.4,-0.00076
-6.020e-04,5.4,-0.00072
-6.000e-04,5.8,-0.0004
-5.980e-04,5.4,-0.00056
-5.960e-04,5.4,-0.0008
-5.940e-04,5.4,-0.0008
-5.920e-04,5,-0.00092
-5.900e-04,5,-0.00036
-5.880e-04,5,-0.00068
-5.860e-04,5,-0.00092
-5.840e-04,5,-0.0006
-5.820e-04,4.2,-0.00056
-5.800e-04,4.2,-0.00088
-5.780e-04,4.2,-0.00044
-5.760e-04,4.2,-0.0004
-5.740e-04,4.2,-0.00068
-5.720e-04,4.2,-0.0002
-5.700e-04,4.2,-0.00052
-5.680e-04,3.8,-0.00032
-5.660e-04,3.4,-0.00064
-5.640e-04,3.8,-0.00064
-5.620e-04,3.8,-0.00076
-5.600e-04,3,-0.00072
-5.580e-04,3.4,-0.00044
-5.560e-04,3,-0.00064
-5.540e-04,3,-0.0004
-5.520e-04,3,-0.00048
-5.500e-04,2.2,-0.0008
-5.480e-04,3,-0.00048
-5.460e-04,2.2,-0.0004
-5.440e-04,2.6,-0.00052
-5.420e-04,2.2,-0.00064
-5.400e-04,1.8,-0.00076
-5.380e-04,2.2,-0.00076
-5.360e-04,1.4,-0.00064
-5.340e-04,1.8,-0.00068
-5.320e-04,1.8,-0.0006
-5.300e-04,1.4,-0.00052
-5.280e-04,1,-0.00076
-5.260e-04,1.4,-0.00072
-5.240e-04,1,-0.00068
-5.220e-04,1,-0.00052
-5.200e-04,1,-0.00064
-5.180e-04,0.6,-0.00044
-5.160e-04,0.2,-0.00048
-5.140e-04,0.2,-0.00068
-5.120e-04,0.2,-0.00048
-5.100e-04,-0.2,-0.0004
-5.080e-04,0.2,-0.00076
-5.060e-04,-0.2,-0.00044
-5.040e-04,-0.6,-0.0006
-5.020e-04,-0.6,-0.00044
-5.000e-04,-0.6,-0.00028
-4.980e-04,-1,-0.00044
-4.960e-04,-0.6,-0.00036
-4.940e-04,-1,-0.0006
-4.920e-04,-1.4,-0.00036
-4.900e-04,-1.4,-0.0004
-4.880e-04,-1.4,-0.00044
-4.860e-04,-1.8,-0.00064
-4.840e-04,-1.8,-0.00052
-4.820e-04,-1.8,-8e-05
-4.800e-04,-1.8,-0.00028
-4.780e-04,-2.2,-0.00056
-4.760e-04,-1.8,-0.00044
